Date,Open,High,Low,Close,Adj Close,Volume
2018-04-30,24279,24458,24099,24131,24131,186410
2018-05-01,24106,24188,23753,24071,24071,215013
2018-05-02,24092,24136,23797,23825,23825,211176
2018-05-03,23820,23940,23467,23910,23910,329134
2018-05-04,23904,24280,23721,24228,24228,233196
2018-05-07,24226,24425,24204,24301,24301,172201
2018-05-08,24284,24355,24135,24307,24307,219324
2018-05-09,24293,24542,24267,24502,24502,191821
2018-05-10,24509,24766,24472,24692,24692,155974
2018-05-11,24677,24847,24675,24823,24823,146145
2018-05-14,24811,24971,24811,24886,24886,134517
2018-05-15,24868,24895,24603,24660,24660,204096
2018-05-16,24676,24778,24614,24740,24740,137023
2018-05-17,24741,24836,24631,24704,24704,165080
2018-05-18,24704,24803,24655,24721,24721,154189
2018-05-21,24854,25080,24854,25002,25002,162324
2018-05-22,24997,25066,24805,24845,24845,143053
2018-05-23,24836,24879,24627,24859,24859,219951
2018-05-24,24849,24868,24584,24803,24803,204225
2018-05-25,24804,24906,24674,24730,24730,179845
2018-05-29,24770,24788,24227,24377,24377,351107
2018-05-30,24398,24715,24325,24669,24669,220229
2018-05-31,24636,24705,24342,24417,24417,249110
2018-06-01,24440,24679,24419,24629,24629,180922
2018-06-04,24619,24863,24571,24796,24796,138703
2018-06-05,24808,24860,24709,24822,24822,140335
2018-06-06,24828,25161,24812,25140,25140,181641
2018-06-07,25148,25327,25119,25268,25268,227962
2018-06-08,25257,25329,25076,25307,25307,118435
2018-06-11,25275,25400,25232,25329,25329,73746
2018-06-12,25317,25385,25239,25296,25296,64694
2018-06-13,25326,25358,25181,25184,25184,49128
2018-06-14,25180,25329,25127,25185,25185,40976
2018-06-15,25204,25204,24963,25058.33008,25058.33008,240917
2018-06-18,25074,25148,24839,25016,25016,163171
2018-06-19,25001,25017,24569,24715,24715,268359
2018-06-20,24715,24858,24632,24670,24670,181063
2018-06-21,24673,24795,24403,24472,24472,237197
2018-06-22,24457,24664,24445,24599,24599,156310
2018-06-25,24599,24615,24077,24279,24279,310488
2018-06-26,24283,24375,24216,24303,24303,197417
2018-06-27,24279,24564,24079,24135,24135,311825
2018-06-28,24144,24295,23978,24220,24220,263092
2018-06-29,24247,24496,24207,24265,24265,207549
2018-07-02,24274,24324,24026,24286,24286,199515
2018-07-05,24160,24364,24114,24343,24343,203143
2018-07-06,24319,24507,24241,24456,24456,168009
2018-07-09,24457,24791,24453,24774,24774,142170
2018-07-10,24780,24937,24745,24927,24927,160488
2018-07-11,24752,24805,24611,24689,24689,220425
2018-07-12,24710,24927,24680,24894,24894,168031
2018-07-13,24903,25028,24869,25004,25004,140813
2018-07-16,25025,25090,24962,25041,25041,108198
2018-07-17,25056,25141,24971,25106,25106,139246
2018-07-18,25118,25197,25081,25161,25161,108762
2018-07-19,25164,25209,25034,25059,25059,141010
2018-07-20,25057,25110,24912,25030,25030,141062
2018-07-23,25088,25088,24952,25033,25033,114420
2018-07-24,25027,25268,25022,25214,25214,183688
2018-07-25,25216,25451,25088,25403,25403,183826
2018-07-26,25437,25568,25392,25525,25525,156245
2018-07-27,25505,25572,25348,25414,25414,194279
